Matrix_Row_ID,Skill_ID,Project_Stage,Project_Task,Skill,Mendix,OutSystems,Zoho Creator,Microsoft Power Apps,Google AppSheet,Aurea
MK001,SK002,Design,Workflow model,Custom Process Model,0,1,1,1,1,0
MK002,SK008,Design,Database model,Domain Model,1,0,0,0,0,0
MK003,SK009,Design,Database model,Conditional Expressions,0,0,0,0,1,0
MK004,SK010,Design,Database model,Constraints,0,0,0,0,1,0
MK005,SK011,Design,Database model,Data Structure,1,0,0,0,0,0
MK006,SK012,Design,Database model,IT Data Types,0,1,0,0,1,0
MK007,SK013,Design,Database model,Denormalization,1,0,0,0,0,0
MK008,SK014,Design,Database model,Entity Diagrams,1,1,1,1,1,0
MK009,,Design,Database model,Enumeration,0,0,0,0,0,0
MK010,SK016,Design,Database model,Expressions,0,0,0,0,1,0
MK011,SK017,Design,Database model,Relational Database,1,1,1,1,0,0
MK012,SK018,Design,Database model,XML/XPath,1,0,0,0,0,1
MK013,SK024,Design,UI model,Expressions,1,1,1,0,1,1
MK014,SK025,Design,UI model,IT Data Types,1,0,0,0,0,0
MK015,SK026,Design,UI model,Functions,0,0,0,0,1,0
MK016,SK027,Design,UI model,Model-driven Apps,0,0,0,1,0,0
MK017,SK028,Design,UI model,Reactive Web App,0,1,0,0,0,0
MK018,SK029,Design,UI model,Responsive Web Design,1,0,0,1,0,0
MK019,SK030,Design,UI model,Variables,0,1,1,0,0,1
MK020,SK033,Design,Validations,Expressions,1,1,1,1,1,1
MK021,SK034,Design,Validations,Enumerations,1,0,0,0,0,0
MK022,SK035,Design,Validations,JavaScript,1,0,0,0,0,0
MK023,SK036,Design,Validations,Scripts,0,0,1,0,0,1
MK024,SK037,Design,Validations,Transactions,1,0,0,0,0,0
MK025,SK043,Design,Application logic,UML,1,0,0,0,0,0
MK026,SK044,Design,Application logic,Algorithms,1,0,0,0,0,0
MK027,SK045,Design,Application logic,Expressions,1,0,0,1,1,1
MK028,SK046,Design,Application logic,Control Structures,1,0,0,0,0,0
MK029,SK047,Design,Application logic,IT Data Types,1,0,0,0,0,0
MK030,SK048,Design,Application logic,Events,0,0,0,0,1,1
MK031,SK049,Design,Application logic,Formulas,0,0,0,1,1,0
MK032,SK050,Design,Application logic,Functions,0,0,0,0,1,0
MK033,SK051,Design,Application logic,Java,1,0,0,0,0,0
MK034,SK052,Design,Application logic,JavaScript,1,0,0,0,0,0
MK035,SK053,Design,Application logic,Microservices,0,0,1,0,0,0
MK036,SK054,Design,Application logic,SQL,1,0,0,0,0,1
MK037,SK055,Design,Application logic,Variables,1,1,1,1,1,1
MK038,SK057,Development,Workflow design and development,Expressions,0,0,0,0,1,0
MK039,SK058,Development,Workflow design and development,Custom Process Model,0,1,1,1,1,0
MK040,SK059,Development,Workflow design and development,Events,1,0,0,0,0,0
MK041,SK060,Development,Workflow design and development,Java API,1,0,0,0,0,0
MK042,SK061,Development,Workflow design and development,JavaScript,0,0,0,0,1,0
MK043,SK062,Development,Workflow design and development,REST API,0,0,0,0,1,0
MK044,SK063,Development,Workflow design and development,Triggers,1,0,0,0,0,0
MK045,SK068,Development,Database design,Actions,0,0,0,1,0,0
MK046,SK069,Development,Database design,Expressions,0,0,0,0,1,0
MK047,SK070,Development,Database design,Relational Database,1,1,1,1,1,0
MK048,SK071,Development,Database design,Entity Diagrams,0,0,1,0,0,0
MK049,SK072,Development,Database design,Functions,0,0,0,1,1,0
MK050,SK073,Development,Database design,SQL,1,1,0,0,0,0
MK051,SK074,Development,Database design,IT Data Types,0,0,0,1,1,1
MK052,SK075,Development,Database design,Web API,0,0,0,1,0,0
MK053,SK076,Development,Fetching data,.NET,0,0,0,1,0,0
MK054,SK081,Development,Fetching data,Cloud Services,0,0,1,0,0,0
MK055,SK082,Development,Fetching data,Custom Query Language,0,0,0,1,0,0
MK056,SK083,Development,Fetching data,Data Source Integration,0,0,0,0,1,1
MK057,SK084,Development,Fetching data,Formulas,0,0,0,1,0,1
MK058,SK085,Development,Fetching data,Local Storage,0,0,1,0,0,0
MK059,SK086,Development,Fetching data,OAuth,0,0,1,0,0,0
MK060,SK087,Development,Fetching data,REST API,0,0,1,0,0,0
MK061,SK088,Development,Fetching data,SDK,0,0,0,1,0,0
MK062,SK089,Development,Fetching data,SQL,0,1,0,1,1,0
MK063,SK090,Development,Fetching data,URL,0,0,1,0,0,0
MK064,SK091,Development,Fetching data,Web API,0,0,0,1,1,0
MK065,SK100,Development,GUI design and development,CSS/SCSS,1,1,0,0,0,0
MK066,SK101,Development,GUI design and development,Event Propagation,0,1,0,0,0,0
MK067,SK102,Development,GUI design and development,Responsive Web Design,0,1,0,0,0,0
MK068,SK103,Development,GUI design and development,HTML,1,1,1,0,0,0
MK069,SK104,Development,GUI design and development,IT Data Types,0,1,1,1,0,0
MK070,SK105,Development,GUI design and development,JavaScript,0,0,0,1,0,0
MK071,SK106,Development,GUI design and development,Master Detail,0,1,0,0,0,0
