Platform,Project stage,Project tasks,Source,Keywords
Mendix,Design,,https://docs.mendix.com/,
Mendix,Design,Workflow model,https://docs.mendix.com/refguide/nanoflows/,"+""BPMN Process Model"""
Mendix,Design,Database model,https://docs.mendix.com/refguide/domain-model/,"""Domain Model"", ""Data Structure"", ""Entity Diagrams"", ""Association"", ""One-to-Many"", ""Many-to-Many"", ""Denormalization"", ""XPath"""
Mendix,Design,UI model,https://docs.mendix.com/refguide/pages/,"""Boolean Expressions"", ""Responsive Web Design"", ""Data Types"""
Mendix,Design,Validations,"https://docs.mendix.com/refguide/nanoflows/
https://docs.mendix.com/refguide/expressions/","""Transactions"", ""JavaScript"", ""String Functions"", ""Conditional Expressions"", ""Arithmetic Expressions"", ""Boolean Expressions"", ""Enumerations"""
Mendix,Design,Application logic,"https://docs.mendix.com/refguide/application-logic/
https://docs.mendix.com/refguide/resources/","""Sequence Flow"", ""Activity Diagram"", ""Control Structures"", ""Algorithms"", ""Java"", ""JavaScript"", ""SQL/OQL"", ""Regular Expressions"", ""Variables"", ""Data Types"""
Mendix,Development,,,
Mendix,Development,Workflow design and development,"https://docs.mendix.com/refguide/workflows/
https://docs.mendix.com/refguide/workflow-engine/","+""BPMN Process Model"", ""Events"", ""Triggers"", ""Java API"""
Mendix,Development,Database design,https://docs.mendix.com/howto/data-models/,"""Denormalization"", ""Relational Database"", ""SQL"""
Mendix,Development,Fetching data,https://www.mendix.com/evaluation-guide/app-capabilities/data-querying-management/,"""Xpath"", ""OQL"", ""SQL"", ""Odata"""
Mendix,Development,GUI design and development,https://docs.mendix.com/howto/front-end/,"""HTML"", ""CSS"", ""SASS (SCSS)"", ""Themes"""
Mendix,Development,Data validation development,https://docs.mendix.com/refguide/setting-up-data-validation/,"""Conditional Expressions"", ""Boolean Expressions"", ""Domain Model"""
Mendix,Development,Actions design and development,https://docs.mendix.com/howto/extensibility/build-javascript-actions/,"""Java"", ""JavaScript"", ""API"""
Mendix,Development,Programming,"https://docs.mendix.com/refguide/java-programming/
https://docs.mendix.com/refguide/mobile/introduction-to-mobile-technologies/","""Eclipse"", ""Java API"", ""Java"", ""Emulators Andoid iOS"", ""PWA"", ""Native Mobile App"""
Mendix,Implementation,,,
Mendix,Implementation,Runtime server installation,https://docs.mendix.com/refguide/runtime-server/,"""File Storage"", ""Database Synchronization"", ""REST API"", ""SOAP"", ""WSDL"", ""Swagger"", ""Relational Database"", ""Xpath"", ""OQL"", ""Java"", ""API"", ""HTTPS Server"""
Mendix,Implementation,Database installation,https://docs.mendix.com/refguide/data-storage/,"""Relational Database"", ""File Storage"""
Mendix,Implementation,Client module installation,https://docs.mendix.com/refguide/mendix-client/,"""HTTPS Server"", ""API"""
Mendix,Implementation,Deployment,https://docs.mendix.com/developerportal/deploy/,"""Cloud Services"", ""CI/CD"", ""Docker"", ""Kubernetes"""
Mendix,Implementation,Version control,https://docs.mendix.com/refguide/version-control/,"""Git"", ""Code Repository Concept"""
,,-,,
Outsystems,Design,,https://success.outsystems.com/documentation/,
